model,quantization,ber,trial,perplexity,ppl_ratio_vs_unperturbed,sample_1,sample_2,sample_3
TinyStories-33M-surrogate,INT8,1e-08,3,9.302,1.045,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-33M-surrogate,INT8,1e-08,4,9.342,1.05,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-33M-surrogate,INT8,3e-08,0,11.497,1.292,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-33M-surrogate,INT8,3e-08,1,11.347,1.275,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-33M-surrogate,INT8,3e-08,2,10.932,1.228,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-33M-surrogate,INT8,3e-08,3,11.087,1.246,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-33M-surrogate,INT8,3e-08,4,11.135,1.251,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-33M-surrogate,INT8,1e-07,0,19.497,2.191,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-33M-surrogate,INT8,1e-07,1,19.242,2.162,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-33M-surrogate,INT8,1e-07,2,18.538,2.083,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-33M-surrogate,INT8,1e-07,3,18.801,2.113,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-33M-surrogate,INT8,1e-07,4,18.882,2.122,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,3e-07,0,47.511,5.338,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,3e-07,1,46.888,5.268,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,3e-07,2,45.174,5.076,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,3e-07,3,45.815,5.148,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-33M-surrogate,INT8,3e-07,4,46.013,5.17,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,1e-06,0,168.59,18.943,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,1e-06,1,166.383,18.695,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,1e-06,2,160.299,18.011,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,1e-06,3,162.574,18.267,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-33M-surrogate,INT8,1e-06,4,163.275,18.346,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,3e-06,0,592.591,66.583,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,3e-06,1,584.832,65.711,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,3e-06,2,563.446,63.309,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-33M-surrogate,INT8,3e-06,3,571.443,64.207,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,3e-06,4,573.909,64.484,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,1e-05,0,2425.207,272.495,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,1e-05,1,2393.452,268.927,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-33M-surrogate,INT8,1e-05,2,2305.93,259.093,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-33M-surrogate,INT8,1e-05,3,2338.655,262.77,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-33M-surrogate,INT8,1e-05,4,2348.747,263.904,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden so it was good but not because the story forgot the door.
